user_id,username,first_name,last_name,gender,age,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_19,track_20,track_21,track_22,track_23,track_24,track_25,track_26,track_27,track_28,track_29,track_30
861079384,,Паша,,Мужской,25-34,3,4,2,1,2,1,3,1,1,4,2,4,1,5,4,3,1,2,4,1,5,2,3,1,2,3,3,5,1,3
8134189788,,S,,Женский,45-54,2,3,4,4,3,3,3,3,2,3,3,2,2,3,3,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4
6502454853,,Павел,,Мужской,25-34,4,5,4,3,2,4,5,4,1,1,1,2,3,2,3,2,1,1,1,1,2,3,2,4,4,2,3,4,1,1
7042016825,,Артём,,Мужской,25-34,3,4,1,5,4,3,4,5,2,4,5,3,2,4,5,4,3,5,1,3,1,4,5,4,5,3,4,3,5,4
1240787890,Olga07197,Ольга,,Женский,45-54,4,5,1,3,1,1,2,2,2,2,1,2,1,2,1,3,1,2,1,2,1,2,1,2,2,2,1,5,1,3
6892657154,,Ращеня,,Мужской,до 24,1,3,3,2,2,4,1,5,3,1,2,4,1,3,1,2,1,3,1,1,1,2,1,2,1,2,1,1,1,1
1290781137,,Лариса,,Женский,35-44,4,4,2,3,4,4,4,1,4,2,4,5,3,3,2,5,3,4,5,4,1,5,3,4,5,3,4,5,4,3
1291778849,lvenochek88,Кристина,,Женский,35-44,4,3,5,3,5,3,5,2,5,3,5,3,4,5,3,5,3,5,3,3,5,2,3,5,3,3,3,5,3,4
5759910998,,СОФИЯ,,Женский,35-44,3,3,5,2,4,4,4,2,4,3,5,3,3,3,3,4,3,5,3,5,2,3,3,4,3,3,5,2,3,5
6138577260,,БАЖЕНА,ВАШЕПРУДОВА,Женский,35-44,2,3,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,2,3,4,3
7335360323,viku_sinka,Виктория,,Женский,до 24,4,5,4,4,4,4,4,3,4,4,4,4,3,5,4,5,4,5,3,3,3,4,4,4,3,4,3,4,4,4
